Name,Park,City,Type,Height,Speed,Length,Inversions?,Num of Inversions,Durration,Year,Manufacturer,Model Name,Region
Roller Coaster,Fun Town at Micke Grove,Lodi,Steel,NA,NA,NA,No,0,NA,1972,E&F Miler,E&F Family,N
Roller Coaster,Playland Fresno,Fresno,Steel,NA,NA,NA,No,0,NA,2002,Molina & Son's,Moli-Coaster,N
Santa Monica West Coaster,Pacific Park,Santa Monica,Steel,55,35,1300,No,0,NA,1996,D.H Morgan,Morgan Family,S
Scream!,Six Flags Magic Mountain,Valencia,Steel,150,63,3985,Yes,7,180,2003,Bollinger & Mabillard,Floorless Coaster,S
Screamin' Demon,Castle Amusement Park,Riverside,Steel,32.5,NA,NA,No,0,NA,2008,Fabbri,Power Mouse,S
Sea Serpent,Santa Cruz Beach Boardwalk,Santa Cruz,Steel,NA,NA,NA,No,0,NA,2000,E&F Miler,E&F Family,N
Sidewinder Safari,Six Flags Discovery Kingdom,Vallejo,Steel,42.7,29.1,1378,No,0,NA,2022,Zamperla,Twister Coaster,N
Sierra Sidewinder,Knott's Berry Farm,Buena Park,Steel,64,36.9,1505,No,0,156,2007,Mack Rides,Mack Spinning Coaster,S
Silver Bullet,Knott's Berry Farm,Buena Park,Steel,146,55,3125,Yes,6,230,2004,Bollinger & Mabillard,Inverted Coaster,S
Space Mountain,Disneyland,Anaheim,Steel,76,35,3459,No,0,300,1977,Dynamic Attractions,Custom ,S
Superman Escape,Six Flags Magic Mountain,Valencia,Steel,415,100,1235,No,0,28,1997,Intamin,Reverse Freefall Coaster,S
Superman Utimate Flight,Six Flags Discovery Kingdom,Vallejo,Steel,150,62,863,Yes,1,44,2012,Premier Rides,Skr Rocket II,N
Tatsu,Six Flags Magic Mountain,Valencia,Steel,170,62,3602,Yes,4,NA,2006,Bollinger & Mabillard,Flying Coaster,S
Technic Coaster,Legoland California,Carlsbad,Steel,49.8,35,1312.3,No,0,NA,2001,Mack Rides,Wilde Maus,S
Tidal Twister,SeaWorld San Diego,San Diego,Steel,22,30,320,Yes,1,NA,2019,Skyline Attractions,Skywarp,S
Tiger Trek,Oakland Zoo,Oakland,Steel,NA,NA,NA,No,0,NA,1999,Wisdom Rides,Dragon Wagon,N
Timberline Twister,Knott's Berry Farm,Buena Park,Steel,30,NA,480,No,0,55,1983,Allan Herschell,Little Dipper,S
Timber Twister,Gilroy Gardens Family Theme Park,Gilroy,Steel,26,21,655,No,0,50,2001,Zierer,Tivoli,N
Undertow,Santa Cruz Beach Boardwalk,Santa Cruz,Steel,50,40,1410,No,0,NA,2013,Maurer,Spinning Coaster,N
Twisted Colossus,Six Flags Magic Mountain,Valencia,Steel,121,57,4990,Yes,2,340,2015,Rocky Mountain Construction,IBOX Track,S
Viper,Six Flags Magic Mountain,Valencia,Steel,171,70,3830,Yes,7,150,1990,Arrow Development,Custom Looper,S
West Coast Racers,Six Flags Magic Mountain,Valencia,Steel,67,55,4000,Yes,4,300,2020,Premier Rides,Custom LSM,S
Wonder Women Flight of Courage,Six Flags Magic Mountain,Valencia,Steel,131,58,3300,Yes,3,NA,2022,Rocky Mountain Construction,Raptor Track,S
Woodstock Express,California's Great America,Santa Clara,Steel,36,25,1300,No,0,212,1987,Intamin,Junior,N
X2,Six Flags Magic Mountain,Valencia,Steel,175,76,3610,Yes,2,NA,2002,Arrow Development,4th Dimension,S
Xcelerator,Knott's Berry Farm,Buena Park,Steel,205,82,2202,No,0,102,2002,Intamin,Hydraulic Accelerator ,S
