Name,Park,City,Type,Height,Speed,Length,Inversions?,Num of Inversions,Durration,Year,Manufacturer,Model Name
Flying Dragon,Funderland Amusement Park,Sacramento,Steel,NA,NA,NA,No,0,NA,1990,Wisdom Rides,Dragon Wagon
Freeway Coaster,Adventure City,Anaheim,Steel,NA,NA,NA,No,0,NA,1994,E&F Miler,E&F Family
Full Throttle,Six Flags Magic Mountain,Valencia,Steel,164,70,2200,Yes,2,130,2013,Premier Rides,Sky Rocket III
Gadget's Go Coaster,Disneyland,Anaheim,Steel,27.9,21.7,679,No,0,44,1993,Vekoma,Vekoma Junior
GhostRider,Knott's Berry Farm,Buena Park,Wood,118,56,4533,No,0,240,1998,Custom Coaster International,CCI Wooden Coaster
Belmont Giant Dipper,Belmont Park,San Diego,Wood,73,55,2600,No,0,NA,1925,"Frank Prior, Fredrick Church",Classic Wooden Coaster
Santa Cruz Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,Wood,70,55,2640,No,0,152,1924,"Frank Prior, Fredrick Church",Classic Wooden Coaster
Go-Gator,Kiwanis Kiddieland,Merced,Steel,NA,NA,NA,No,0,NA,2008,Wisdom Rides,Dragon Wagon
Gold Rusher,Six Flags Magic Mountain,Valencia,Steel,70,35,2590,No,0,230,1971,Arrow Development,Minetrain
Gold Striker,California's Great America,Santa Clara,Wood,108.2,53.7,3197,,,230,2013,Great Coasters International,GCI Wooden Coaster
Goliath,Six Flags Magic Mountain,Valencia,Steel,255,85,4500,No,0,300,2000,Giovanola,Mega Coaster
Goofy's Sky School,Disney's California Adventure,Anaheim,Steel,45.9,27,1213,No,0,150,2001,Mack Rides,Wilde Maus
Grizzly,California's Great America,Santa Clara,Wood,91,55,3250,No,0,240,1986,KECO,KECO Wooden Coaster
Hangtime,Knott's Berry Farm,Buena Park,Steel,150,57,2198,Yes,5,NA,2018,Gerstlaurer,Infinity Coaster
Harely Quinn Crazy Coaster,Six Flags Discovery Kingdom,Vallejo,Steel,62,35,360,Yes,2,NA,2018,Skyline Attractions,Skywarp
Incredicoaster,Disney's California Adventure,Anaheim,Steel,122,55,6072,Yes,1,236,2001,Intamin,Multi Inversion Coaster
Jaguar!,Knott's Berry Farm,Buena Park,Steel,65,35,2602,No,0,200,1995,Zierer,Tivoli
Joker,Six Flags Discovery Kingdom,Vallejo,Steel,100,53,3200,Yes,3,NA,2016,Rocky Mountain Construction,IBOX Track
Journey to Atlantis,SeaWorld San Diego,San Diego,Steel,95,42,NA,No,0,500,2004,Mack Rides,Water Coaster
Kong,Six Flags Discovery Kingdom,Vallejo,Steel,49.7,109.3,2260.5,Yes,5,136,1998,Vekoma,Suspended Looping Coaster
Little Dipper,Frasier's Frontier,El Cajon,Steel,NA,NA,NA,No,0,NA,1998,Allan Herschell,Little Dipper
Lucy's Crabbie Cabbies,California's Great America,Santa Clara,Steel,NA,NA,NA,No,0,NA,1999,E&F Miler,E&F Family
Magic Flyer,Six Flags Magic Mountain,Santa Clara,Steel,10,10,350,No,0,NA,1971,Allan Herschell,Little Dipper
Manta,SeaWorld San Diego,San Diego,Steel,30,43,2800,No,0,200,2012,Mack Rides,Lauch Coaster
Max's Dog Coaster,Speed Zone,City Of Industry,Steel,NA,NA,NA,No,0,NA,2021,SBF Visa,Wacky Worm
Matterhorn Bobsleds,Disneyland,Anaheim,Steel,80,27,2134,No,0,226,1959,Arrow Development,Special Coaster Systems 
Medusa,Six Flags Discovery Kingdom,Vallejo,Steel,150,65,3937,Yes,7,315,2000,Bollinger & Mabillard,Floorless Coaster
Merlin's Revenge,Castle Amusement Park,Riverside,Steel,27.9,21.7,679.1,No,0,44,2001,Vekoma,Vekoma Junior
Mineshaft Coaster,Alpine Slide at Magic Mountain,Big Bear Lake,Steel,24,27,5280,No,0,NA,2020,Wiegand,Alpine Coaster
Mine Train,Sonoma TrainTown,Sonoma,Steel,NA,NA,NA,No,0,NA,2015,E&F Miler,E&F Family
Montezooma's Revenge,Knott's Berry Farm,Buena Park,Steel,148,55,800,Yes,1,36,1978,Schwarzkopf,Shuttle Loop
New Revolution,Six Flags Magic Mountain,Valencia,Steel,113,55,3457,Yes,1,212,1976,Schwarzkopf,Custom Looper
Ninja,Six Flags Magic Mountain,Valencia,Steel,60,55,2700,No,0,90,1988,Arrow Development,Suspended Coaster
Pacific Fruit Express,Happy Hollow,San Jose,Steel,NA,NA,NA,No,0,NA,2010,E&F Miler,E&F Family
Patriot,California's Great America,Santa Clara,Steel,91,45,1920,Yes,2,214,1991,Bollinger & Mabillard,Floorless Coaster
Pony Express,Knott's Berry Farm,Buena Park,Steel,44.3,38,1250,No,0,NA,2008,Zamperla,Moto Coaster
Psycho Mouse,California's Great America,Santa Clara,Steel,68,30,1257,No,0,130,2001,Arrow Development,Mad Mouse
Quicksilver Express,Gilroy Gardens Family Theme Park,Gilroy,Steel,38,32,2139,No,0,NA,2001,D.H Morgan,Minetrain
RaiBlazer,California's Great America,Santa Clara,Steel,106,52,1800,Yes,3,NA,2018,Rocky Mountain Construction,Raptor Track
Revenge of the Mummy,Universal Studios Hollywood,Universal City,Steel,44.4,40,1906,No,0,200,2004,Premier Rides,Custom LIM
Rewind Racers,Adventure City,Anaheim,Steel,39.3,31.1,593.8,No,0,NA,2015,Gerstlaurer,Family Shuttle 
Riddler's Revenge,Six Flags Magic Mountain,Valencia,Steel,156,65,4370,Yes,6,300,1998,Bollinger & Mabillard,Stand-up Coaster
Roadrunner Express,Six Flags Magic Mountain,Valencia,Steel,27.9,21.7,679.1,No,0,,2011,Vekoma,Vekoma Junior
Roadrunner Express,Six Flags Discovery Kingdom,Vallejo,Steel,13,15.5,262.5,No,0,,1999,Zamperla,Zamperla Family Coaster 
Roller Coaster,Fun Town at Micke Grove,Lodi,Steel,NA,NA,NA,No,0,NA,1972,E&F Miler,E&F Family
Roller Coaster,Playland Fresno,Fresno,Steel,NA,NA,NA,No,0,NA,2002,Molina & Son's,Moli-Coaster
Santa Monica West Coaster,Pacific Park,Santa Monica,Steel,55,35,1300,No,0,NA,1996,D.H Morgan,Morgan Family
Scream!,Six Flags Magic Mountain,Valencia,Steel,150,63,3985,Yes,7,180,2003,Bollinger & Mabillard,Floorless Coaster
Screamin' Demon,Castle Amusement Park,Riverside,Steel,32.5,NA,NA,No,0,NA,2008,Fabbri,Power Mouse
Sea Serpent,Santa Cruz Beach Boardwalk,Santa Cruz,Steel,NA,NA,NA,No,0,NA,2000,E&F Miler,E&F Family
Sidewinder Safari,Six Flags Discovery Kingdom,Vallejo,Steel,42.7,29.1,1378,No,0,NA,2022,Zamperla,Twister Coaster
Sierra Sidewinder,Knott's Berry Farm,Buena Park,Steel,64,36.9,1505,No,0,156,2007,Mack Rides,Mack Spinning Coaster
Silver Bullet,Knott's Berry Farm,Buena Park,Steel,146,55,3125,Yes,6,230,2004,Bollinger & Mabillard,Inverted Coaster
Space Mountain,Disneyland,Anaheim,Steel,76,35,3459,No,0,300,1977,Dynamic Attractions,Custom 
Superman Escape,Six Flags Magic Mountain,Valencia,Steel,415,100,1235,No,0,28,1997,Intamin,Reverse Freefall Coaster
Superman Utimate Flight,Six Flags Discovery Kingdom,Vallejo,Steel,150,62,863,Yes,1,44,2012,Premier Rides,Skr Rocket II
Tatsu,Six Flags Magic Mountain,Valencia,Steel,170,62,3602,Yes,4,NA,2006,Bollinger & Mabillard,Flying Coaster
Technic Coaster,Legoland California,Carlsbad,Steel,49.8,35,1312.3,No,0,NA,2001,Mack Rides,Wilde Maus
Tidal Twister,SeaWorld San Diego,San Diego,Steel,22,30,320,Yes,1,NA,2019,Skyline Attractions,Skywarp
Tiger Trek,Oakland Zoo,Oakland,Steel,NA,NA,NA,No,0,NA,1999,Wisdom Rides,Dragon Wagon
Timberline Twister,Knott's Berry Farm,Buena Park,Steel,30,NA,480,No,0,55,1983,Allan Herschell,Little Dipper
Timber Twister,Gilroy Gardens Family Theme Park,Gilroy,Steel,26,21,655,No,0,50,2001,Zierer,Tivoli
Undertow,Santa Cruz Beach Boardwalk,Santa Cruz,Steel,50,40,1410,No,0,NA,2013,Maurer,Spinning Coaster
Twisted Colossus,Six Flags Magic Mountain,Valencia,Steel,121,57,4990,Yes,2,340,2015,Rocky Mountain Construction,IBOX Track
Viper,Six Flags Magic Mountain,Valencia,Steel,171,70,3830,Yes,7,150,1990,Arrow Development,Custom Looper
West Coast Racers,Six Flags Magic Mountain,Valencia,Steel,67,55,4000,Yes,4,300,2020,Premier Rides,Custom LSM
Wonder Women Flight of Courage,Six Flags Magic Mountain,Valencia,Steel,131,58,3300,Yes,3,NA,2022,Rocky Mountain Construction,Raptor Track
Woodstock Express,California's Great America,Santa Clara,Steel,36,25,1300,No,0,212,1987,Intamin,Junior
X2,Six Flags Magic Mountain,Valencia,Steel,175,76,3610,Yes,2,NA,2002,Arrow Development,4th Dimension
Xcelerator,Knott's Berry Farm,Buena Park,Steel,205,82,2202,No,0,102,2002,Intamin,Hydraulic Accelerator 
